psid,prime_group_label,no_bev_selected0,treatment,conventional_gas_vehicle_enthusiasm,simply_not_interested,price_cost,range_anxiety,charging_infrastructure,battery_concern,ev_skepticism,ev_distrust,used_vehicle_distrust,environmental_doubt,other,n_themes
6792aaa32a815f81e7ef6c00,prime_long,I will never buy an electric car,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
670763434c8fd3dbbf341cf2,prime_long,I am not interested in an electric vehicle.,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
697b6a31c5be61f911835aaa,prime_short,I am not interested in purchasing an electric vehicle.,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
69c1924e8539891b35bd9a5c,prime_long,I do not trust these vehicles,Extended Info,0,0,0,0,0,0,0,1,0,0,0,1
6662926b4a9e6c43497fdaf3,prime_long,"Exactly for the same reasons I mentioned earlier - EV cars were a scam - telling people they were helping the environment but is entirely worse off than a normal gas car. Also, I don't want to sit at a charging station and wait for a charger.",Extended Info,0,0,0,0,1,0,1,0,0,1,0,3
6629658113ec221fd75635bb,prime_short,"i don't want to worry about a electric battery, whether it's new or had cell replacement or full replacement.",Basic Info,0,1,0,0,0,1,0,0,0,0,0,2
669d7166f5b54b43345f470a,prime_long,"I have no way to charge an electric vehicle at or near my residence, nor do I wish to own an electric vehicle.",Extended Info,0,1,0,0,1,0,0,0,0,0,0,2
6657b55f598e9524b0e2f0e7,prime_short,"Too many miles on car, not large enough range on battery, battery health questionable, price too high",Basic Info,0,0,1,1,0,1,0,0,0,0,0,3
67c73d5782c0bc8887ebe092,prime_long,I don't want a battery powered car - I don't think it would be dependable,Extended Info,0,1,0,0,0,0,0,1,0,0,0,2
66a017dc4b008452171ea97e,prime_short,I do not want an electric vehicle when electrical prices are through the roof and AI is taking power from households which will only get worse.,Basic Info,0,1,1,0,0,0,0,0,0,0,0,2
66da824cbc26079e9e3c06a1,prime_long,I'm not interested in full electric or hybrid vehicles at this time.  I would prefer a conventional vehicle.,Extended Info,1,1,0,0,0,0,0,0,0,0,0,2
5e4874c85c308330c8110aa4,prime_long,I am not interested in an electric vehicle,Extended Info,0,1,0,0,0,0,0,0,0,0,0,1
69b1a380d1a73b12ea3dff15,prime_short,I don't want an EV at all.,Basic Info,0,1,0,0,0,0,0,0,0,0,0,1
65ce19f79d8488ef10b52a3e,prime_short,"At this point, I don't trust them.",Basic Info,0,0,0,0,0,0,0,1,0,0,0,1
